Old_URL,Best_Match_New_URL,Match_Score
/londons-spring-spectacular-art-festivals-and-gigs-galore-🌸🎶/,/blog/londons-spring-spectacular-art-festivals-and-gigs-galore,100
/city-guide/,/blog/your-ultimate-summer-guide,67
/category/culture/,/blog/harry-potter-studio-tour,40
/coliving-at-astor-hostels/whatsapp-image-2020-10-23-at-08-20-38-2/,/hostels,100
/york,/hostels/york,100
/coliving-at-astor-hostels/whatsapp-image-2020-10-23-at-08-20-39-2/,/hostels,100
/halloween-costume-ideas-for-travelers-on-a-budget/blog-cover/,/blog/halloween-costume-ideas-for-travelers-on-a-budget,100
/exploring-london-a-guide-to-iconic-spots-🎒🇬🇧/,/blog/exploring-london-a-guide-to-iconic-spots,100
/city-guide/covent-garden-5/,/blog/sky-garden-hostels-london,46
/book/,/book-now,100
/your-ultimate-guide-to-autumnal-adventures-in-london-🍂/,/blog/your-ultimate-guide-to-autumnal-adventures-in-london,100
/a-night-of-music-and-giving-back-🎸🎤/,/blog/a-night-of-music-and-giving-back,100
/summer-offer/,/blog/your-ultimate-summer-guide,67
/category/food-drink/,/blog/london-indoor-ice-rinks,43
/coliving-at-astor-hostels/astorhostelvic_114-insta/,/hostels,100
/book,/book-now,100
/home/img4/,/hostels/kensington,44
/astor-victoria-competition/astor-hostel-victoria-still-images-nov-2017-3-2/,/hostels/victoria,67
/24-amazing-hours-in-london/sky-garden/,/blog/24-amazing-hours-in-london,91
/city-guide/bg-img31/,/blog/your-ultimate-summer-guide,48
/3381-2/whb-jazz-concert/,/blog/3381-2,71
/grooming-time-the-barber-de-seville/barbercover/,/blog/grooming-time-the-barber-de-seville,93
/5-top-notch-bars-chicken-wings-london/wings-2709068_1280-1/,/blog/5-top-notch-bars-chicken-wings-london,94
/tickets/noun_theatre_159748-3/,/blog/theatre-in-london,43
/what-you-need-to-know-about-the-making-of-harry-potter/pexels-vinicius-vieira-ft-3151954/,/blog/what-you-need-to-know-about-the-making-of-harry-potter,96
/londons-best-affordable-bottomless-brunches/cafe-2843009_1280/,/blog/londons-best-affordable-bottomless-brunches,95
/a-guide-to-nye-2019-in-london/woman-wearing-red-shirt-drinking-948199-1/,/blog/a-guide-to-nye-2019-in-london,92
/london-markets-brick-lane-hostels-london/clothing-842338_1920/,/hostels,100
/coliving-at-astor-hostels/astorhostelvic_129-insta/,/hostels,100
/best-bike-rides-in-and-around-york/action-active-adventure-2270332/,/blog/best-bike-rides-in-and-around-york,93
/things-to-do-in-york-in-spring/north_york_moors/,/blog/things-to-do-in-york-in-spring,92
/rooms/large-dorms-hydepark/mixed-dorm2x/,/blog/charming-places-in-london-richmond-park,43
/tickets/img11-2/,/blog/astor-giveaway-win-free-tickets-for-the-monster,64
/home/woman-walking-on-pathway-while-strolling-luggage-1008155-2/,/blog/6-things-to-do-in-york-when-it-rains,42
/city-guide/underground/,/blog/london-underground-haunted-stations-astor-kensington,67
/community-involvement-2/17457501_1263101370477899_4881660480004087896_n/,/blog/a-guide-to-nye-2019-in-london,29
/6-cosy-bars-in-london-to-keep-you-warm-in-cold-weather/32921728_2087362721534148_1590857054669504512_n/,/blog/6-cosy-bars-in-london-to-keep-you-warm-in-cold-weather,95
/perfect-sunday-east-london/36698264_10216117579829398_8646653513499148288_n-copy-3/,/blog/perfect-sunday-east-london,91
/londons-spring-spectacular-art-festivals-and-gigs-galore-🌸🎶/astor-hostels/,/hostels,100
/astor-hostels-covid-19-policy-for-guests/pexels-photo-4127627/,/hostels,100
/perfect-sunday-east-london/36698264_10216117579829398_8646653513499148288_n-copy-2/,/blog/perfect-sunday-east-london,91
/things-to-do-in-york-this-summer/museum-gardens-2/,/blog/things-to-do-in-york-this-summer,93
/influencers-wanted/olympus-digital-camera/,/blog/influencers-wanted,88
/astorhostelvic_105-insta/,/hostels/victoria,55
/quick-guide-to-outdoor-recreational-activities-in-london/action-adult-balance-163452/,/blog/quick-guide-to-outdoor-recreational-activities-in-london,96
/london-indoor-ice-rinks/pexels-pavel-danilyuk-6539432/,/blog/london-indoor-ice-rinks,90
/rooms/large-dorms-victoria/dsc_4429/,/hostels/victoria,67
/3381-2/hy/,/blog/3381-2,80
/long-stay/lowres-smithandscholey_mg_3882/,/blog/scared-to-go-solo-to-london-read-this,46
/home/icon7/,/hostels/victoria,54
/hostels/booking-confirmation-hyde-park/spaces/,/hostels/hyde-park,100
/tickets/pub/,/blog/astor-giveaway-win-free-tickets-for-the-monster,78
/londons-best-affordable-bottomless-brunches/pexels-photo-693267/,/blog/londons-best-affordable-bottomless-brunches,95
/perfect-date-ideas-london-christmas/pexels-photo-383646/,/blog/perfect-date-ideas-london-christmas,93
/what-you-need-to-know-about-the-making-of-harry-potter/pexels-i̇layda-coşkun-8877362/,/blog/what-you-need-to-know-about-the-making-of-harry-potter,96
/best-activities-to-do-in-london-during-christmas/christmas-3986268_1280/,/blog/best-activities-to-do-in-london-during-christmas,95
/coliving-at-astor-hostels/astorhostelvic_037-insta-b/,/hostels,100
/city-guide/pexels-photo-3/,/blog/exploring-london-a-guide-to-iconic-spots,46
/londons-finest-cider-pubs/cider-pubs-cover/,/blog/londons-finest-cider-pubs,91
/tickets/noun_theatre_159748/,/blog/theatre-in-london,41
/a-night-of-music-and-giving-back-🎸🎤/music/,/blog/a-night-of-music-and-giving-back,100
/astor-victoria-competition/8-bed-mixed-shared-113-lower-resolution-1/,/hostels/victoria,67
/home/why-book-with-us-background-pic/,/work-with-us,74
/unmissable-london-festivals-june/people-party-dancing-music/,/blog/unmissable-london-festivals-june,93
/coliving-at-astor-hostels/whatsapp-image-2020-10-23-at-08-20-38/,/hostels,100
/live-music-27-05-2022/screenshot-2022-05-24-at-23-04-12/,/blog/live-music-27-05-2022,89
/tickets/experiences-funzing/,/blog/van-gogh-the-immersive-experience,49
/thanksgiving-in-london/thanksgiving-0133/,/blog/thanksgiving-in-london,90
/5-top-notch-bars-chicken-wings-london/pexels-photo-106343-1/,/blog/5-top-notch-bars-chicken-wings-london,94
/astor-victoria-competition/vic-2-exterior-1/,/hostels/victoria,67
